x1,y1,x2,y2,x3,y3,x4,y4
0.49599059734198186,0.8389006592615327,0.3183342796623481,0.9366988029657332,0.17497832819923448,0.9805539473878374,0.08120905227160802,0.9953796054873641
0.5220408610510708,0.8543505302019556,0.34383831490457384,0.9449773930917301,0.19508848218994468,0.98385102266196,0.09398923444427848,0.9963562978508574
0.5479972597035562,0.8687715594793253,0.37007364910338325,0.9523760436476566,0.21654364471152426,0.986657001907183,0.10819566351652771,0.9971435398590325
0.573750034179986,0.882174958240322,0.3969280646007098,0.9589556521338826,0.23930414841365927,0.989031510212049,0.12388580400508847,0.9977739929060152
0.5991920132469661,0.8945795048517182,0.4242805131477675,0.964778011269078,0.26331267882837306,0.9910295152445487,0.14110301331037317,0.9982756318609104
0.6242199491820356,0.9060107655557215,0.45200274029644383,0.9699048461427178,0.28849425635922443,0.9927011950998482,0.15987424231639363,0.9986722054423147
0.6487357709674891,0.9165002620161148,0.47996108325531484,0.9743969632655394,0.3147566276977769,0.9940919265834979,0.18020795483666002,0.9989836998992712
0.6726477297815137,0.9260846068137731,0.5080184003599557,0.9783135181230475,0.34199107650131755,0.9952423748920035,0.20209235626733174,0.9992267920211028
0.69587141464715,0.9348046270854,0.5360360858307022,0.9817114037639999,0.3700736491033837,0.9961886656081124,0.22549401750641035,0.9994152807839397
0.7183306198259393,0.9427044951285591,0.5638761205685999,0.9846447592949921,0.39886677649385877,0.9969626205801447,0.25035697149811453,0.9995604899599854
0.7399580497264027,0.9498308830053808,0.5914031085004394,0.9871645939877076,0.4282212594469788,0.9975920404596851,0.27660234676416073,0.9996716366863381
0.7606958515863407,0.9562321560609459,0.6184862484812728,0.9893185200899755,0.4579785701590363,0.9981010182852279,0.30412858535285003,0.999756163268306
0.7804959708235151,0.9619576179280995,0.6450011939757045,0.991150585388816,0.48797341172756675,0.9985102703826794,0.33281227239793454,0.9998200313623846
0.7993203285720724,0.9670568171154218,0.6708317565699241,0.9927011950998482,0.5180364668468052,0.9988374728810132,0.3625095817950126,0.9998679791553832
0.817140825378674,0.9715789227618511,0.69587141464715,0.9940071117265156,0.5479972597035565,0.999097594203479,0.3930583184320495,0.999903743255622
0.8339391791814676,0.9755721746747434,0.7200245950606269,0.9951015210998487,0.5776870506037719,0.9993032159011768,0.4242805131477675,0.9999302477791455
0.8497066094130803,0.979083410422261,0.7432077030822435,0.9960141528164189,0.6069416815679505,0.9994648360761422,0.45598550339754873,0.9999497635951459
0.8644433822538985,0.9821576700878704,0.7653498839781576,0.9967714436711391,0.6356042930684574,0.9995911513445592,0.48797341172756636,0.9999640409398136
0.8781582346372485,0.9848378773629544,0.7863935079338764,0.9973967333604228,0.6635278371459656,0.9996893147848369,0.5200389167446852,0.9999744186655314
0.8908676965237232,0.9871645939877076,0.8062943783864087,0.9979104826370301,0.6905773200800829,0.9997651685837379,0.5519751982999981,0.9999819133084761
0.9025953321952038,0.9891758431716594,0.8250216718007658,0.9983305051605648,0.7166317182037459,0.999823451133828,0.5835779308154841,0.9999872909731848
0.9133709218741567,0.9909069965414924,0.8425576242616624,0.9986722054423147,0.7415855228275835,0.9998679791553832,0.6146491965228637,0.9999911247825053
0.9232296048792434,0.9923907183719599,0.8588969866896268,0.9989488164726298,0.7653498839781576,0.9999018060317906,0.6450011939757043,0.9999938403544344
0.9322110048347607,0.9936569603422979,0.8740462758361991,0.9991716317946611,0.7878533371009275,0.9999273579811266,0.6744596263335042,0.9999957514663755
0.9403583562276867,0.9947329998041409,0.8880228523258964,0.9993502279107129,0.8090421113698275,0.9999465499628843,0.7028666680765611,0.9999970877694104
0.9477176499348681,0.9956435145199716,0.9008538598147935,0.9994926739466886,0.8288800321394263,0.9999608833638427,0.7300834271897171,0.9999980161323527
0.9543368133163799,0.9964106870016891,0.9125750608097654,0.9996057264351256,0.8473480427898747,0.9999715275465507,0.7559918414237834,0.999998656935521
0.9602649381864993,0.9970543319127603,0.9232296048792437,0.9996950078952582,0.8644433822538985,0.9999793873020139,0.7804959708235151,0.9999990964017595
0.9655515675288039,0.9975920404596851,0.9328667639780459,0.9997651685837379,0.8801784634935677,0.9999851581467593,0.8035226730428999,0.9999993958490547
0.970246049310991,0.998039336255022,0.9415406675410929,0.9998200313623846,0.8945795048517187,0.9999893712624925,0.8250216718007658,0.9999995985749767
0.9743969632655394,0.9984098377528315,0.9493090670426603,0.9998627200847345,0.9076849704088266,0.9999924297099941,0.8449650509950921,0.9999997349366069
0.9780516241120718,0.9987154230088793,0.9562321560609459,0.9998957722498363,0.9195438772299265,0.9999946373706263,0.8633462264785041,0.999999826068228
0.9812556624721182,0.9989663931766614,0.9623714677354046,0.9999212369208366,0.9302140268063971,0.9999962218888486,0.8801784634935674,0.9999998865800204
0.9840526827196806,0.9991716317946611,0.9677888670608387,0.9999407590699138,0.9397602153061898,0.9999973527148986,0.8954930197132195,0.9999999265013456
0.9864839952604861,0.9993387575327262,0.9725456509233009,0.9999556516031961,0.9482524727484423,0.999998155183433,0.9093370014311785,0.9999999526689454
0.9885884192642242,0.9994742686327615,0.9767017643273568,0.9999669563524238,0.9557643752785063,0.9999987214147182,0.9217710236647487,0.9999999697107994
0.9904021506994317,0.9995836777916209,0.9803151370477912,0.9999754953066466,0.9623714677354046,0.9999991186916528,0.9328667639780459,0.9999999807379625
0.9919586896400212,0.9996716366863381,0.9834411410892064,0.9999819133084761,0.9681498260831259,0.9999993958490547,0.9427044951285591,0.9999999878272855
0.9932888202153137,0.9997420497309667,0.9861321659514559,0.9999867133653864,0.9731747814142102,0.9999995881109649,0.9513706737721379,0.999999992355633
0.9944206362426549,0.9997981769803194,0.9884373058435668,0.9999902856358679,0.9775198194902038,0.9999997207262745,0.9589556521338826,0.9999999952295135
0.9953796054873641,0.9998427263609533,0.9904021506994317,0.9999929310500764,0.9812556624721182,0.9999998116815126,0.9655515675288039,0.9999999970416534
0.9961886656081124,0.999877935617698,0.9920686711327931,0.9999948804207442,0.9844495328694105,0.9999998737106022,0.9712504516683623,0.9999999981769484
0.9968683451331664,0.9999056445198962,0.9934751863099612,0.9999963097970224,0.9871645939877076,0.9999999157732624,0.9761425885497215,0.9999999988836233
0.9974369032394004,0.9999273579811266,0.9946564030789381,0.9999973527148986,0.9894595564065417,0.9999999441349263,0.9803151370477912,0.9999999993206669
0.9979104826370301,0.9999443008157128,0.9956435145199716,0.9999981099052144,0.9913884363278349,0.9999999631501008,0.98385102266196,0.999999999589216
0.998303270465793,0.9999574648910579,0.9964643463107838,0.999998656935521,0.9930004490047434,0.9999999758266942,0.9868280926293806,0.999999999753168
0.9986276627525724,0.9999676494428968,0.9971435398590325,0.9999990501858751,0.9943400188399638,0.9999999842297732,0.9893185200899755,0.9999999998526178
0.9988944286394577,0.9999754953066466,0.9977027619719321,0.9999993314913951,0.9954468870441333,0.9999999897684749,0.9913884363278349,0.9999999999125534
0.9991128712420483,0.9999815137873987,0.9981609318366856,0.9999995317258379,0.9963562978508574,0.9999999933985125,0.9930977653502833,0.9999999999484422
0.9992909826217139,0.9999861108483811,0.9985344572081213,0.999999673550158,0.9970992450591185,0.9999999957641487,0.9945002321251526,0.9999999999697937
0.999435590937897,0.99998960724691,0.9988374728810132,0.9999997735073468,0.9977027619719321,0.9999999972970647,0.9956435145199716,0.9999999999824147
0.9995524983768296,0.9999922551913454,0.9990820757115076,0.9999998436090798,0.9981902394781431,0.9999999982847587,0.9965695091537196,0.9999999999898269
0.9996466089242981,0.9999942520350855,0.9992785516015151,0.9999998925300285,0.9985817589459762,0.9999999989175495,0.9973146827241921,0.9999999999941521
0.9997220454587697,0.9999957514663755,0.999435590937897,0.9999999265013456,0.9988944286394577,0.9999999993206669,0.9979104826370301,0.9999999999966596
0.9997822559864812,0.9999968725973009,0.9995604899599854,0.9999999499750318,0.9991427144263867,0.9999999995760173,0.9983837836635483,0.999999999998104
0.9998301091235737,0.9999977073029827,0.9996593363981772,0.9999999661149601,0.9993387575327262,0.9999999997368503,0.9987573506388453,0.9999999999989306
0.9998679791553832,0.9999983261134932,0.9997371784744282,0.99999997715761,0.9994926739466886,0.9999999998375776,0.9990503006534517,0.9999999999994007
0.9998978211743047,0.9999987829168302,0.9997981769803194,0.9999999846755074,0.9996128317394494,0.9999999999003044,0.9992785516015151,0.9999999999996663
0.9999212369208366,0.9999991186916528,0.9998457406531768,0.9999999897684749,0.999706104019231,0.9999999999391456,0.9994552471767164,0.9999999999998153
0.9999395320336018,0.9999993644533871,0.9998826454627595,0.9999999932016566,0.9997780964581102,0.9999999999630603,0.9995911513445592,0.9999999999998984
0.9999537654596199,0.9999995435666197,0.9999111387104727,0.9999999955045512,0.9998333493259868,0.9999999999777014,0.9996950078952582,0.9999999999999445
0.9999647917920365,0.999999673550158,0.9999330290419497,0.9999999970416534,0.9998755147437167,0.9999999999866142,0.9997738628579712,0.9999999999999699
0.9999732972947865,0.9999997674784254,0.9999497635951459,0.9999999980625526,0.9999075104449907,0.9999999999920092,0.9998333493259868,0.9999999999999838
0.9999798303476519,0.999999835063616,0.999962493562911,0.9999999987372581,0.9999316517366594,0.9999999999952562,0.999877935617698,0.9999999999999913
0.9999848270057198,0.9999998834868785,0.9999721294540611,0.9999999991809659,0.9999497635951459,0.9999999999971996,0.9999111387104727,0.9999999999999953
0.999988632318537,0.9999999180333602,0.9999793873020139,0.9999999994713225,0.9999632749584747,0.999999999998356,0.9999357055755501,0.9999999999999976
